Tausug,Part of Speech,English Translation
latag,,widespread
lanus,,wilted
pikpik,,wing (of bird or plane)
kawat,,wire (as for conducting electric current
ma-sakit,,(with ) bitter against
kullus,,withered
luyluy,,withered
ta?,,wonder (softens the tone of a question)
kahuy,,wood
?d,,worm
l?n,,wrap something by turning it over and over
kusut,,wrinkled
ula?,,yell
kahapun,,yesterday
tuyu?,,zeal
aba,n,"Father, Dad"
abal,n,Rip tide
abbu,n,"Pride, arrogance, boastfulness"
ablang,n,"Width, breadth"
ād,n,"A fence, wall"
addat-tabiat,n,"Behavior, conduct, manners"
addun,n,"Dough, batter"
ādil,adj,"Just, upright, honest"
adjimat,n,A kind of amulet
adla,n,"Wariness, skittishness"
adlaw,n,Day
adlaw ini,n,Today
adlaw kapagꞌanak,n,Birthday
adlaw yan,n,Today
adlaw-adlaw,adv,Every day
adlay,n,Job’s tears
āg,n,Difference
agasi,n,"A legendary giant, ogre"
agi,n,What one says
agpas,n,A small fish corral
agsay,adj,Seldom
agun,adv,"Almost, nearly"
agung,n,A brass gong
agung-agung mata,n,The eyeball
agusꞌus,n,Skin rash
agut,n,"Annoyance, displeasure"
ajab,n,A curse
ajal,n,Fate
ajayb,adj,"Shameless, bold"
akal bahal,n,Black coral
ākibat,n,Attitude
akig,n,"Anger, detestation, hatred"
akil bālig,adj,Old enough
akkal-buddi,n,Deception by befriending
ālam,n,Universe
alas,n,An ace
aligatu,n,A spark
alis,n,A black mark
alistu,adj,"Quick, prompt, alert, ready"
aliyan,n,"Slang, jargon"
alla,intj,Ah!
aluhuy,n,"A groan, moan"
alul,n,A raft
alun,n,"Waves, surf, breakers"
aluwa,n,A spirit
amā,n,"Anger, indignation, resentment"
ambak,n,A frog
ambun,n,Divine light
amin,intj,Amen
amirul,n,Starch
ampa,rel,"And then, then"
ampan,n,A grasshopper
ampan dulu,n,"A large grasshopper, locust"
ampugud,n,A pimple
amu,adj,"Right, accurate, true, correct"
anak-anak,adj,Very small
anak-kampung,n,Relatives
anay,n,A termite
anay-anay,adv,"Slowly, carefully"
anduhud,n,"A rumbling, booming noise"
andukang,n,"A fool, buffoon, clown"
ani,n,Harvest
animu,n,"Coaxing, wheedling"
anjibi,n,"Dye, coloring"
annyil,n,"Indigo, bluing for wash"
antib,n,"A storage barn, granary"
āng-āng,adj,"Reluctant, undecided"
angan-angan,n,"Hope, wish, desire"
angbi,n,Slight windblown rain
anggul,n,"Grapes, raisins"
angkas,n,"Residue, dregs"
anglit,n,A cooking pot
angsu,n,A smell
apa,n,Chaff of any grain
apam,n,A pancake
apdu,n,"Bile, gall"
api,n,Fire
apil,n,"A quid, cud, wad"
apis,n,A pen for animals
aplud,adj,"maaplud Acrid, bitter"
apus,n,Gambling
araru,n,A plow
arī,intj,Denotes surprise or protest
aritis,n,A dangling earring
arti,n,A showy display
arut,adj,"Arrogant, haughty, overbearing"
asam,n,Tamarind
asang,n,Gills
asawa,n,A wife
asin,n,Salt
aslag,n,Thickness
asmak,adj,"Stupid, simple-minded"
assang,n,A pigeon
astul,n,"Disgust, exasperation, upset feeling"
asu,n,"Smoke, steam, vapor"
atal,n,Lipstick
atay-batu,n,Unforgiving spirit
atay-itum,n,Treachery
atu,n,"An enemy, opponent, contender"
awan,n,The atmospheric space
awat,n,Distance
awla,adv,Most fitting
awwal,n,"Beginning, origin"
ay,intj,Oh!
ayat,n,"A sentence, line, verse"
ayb,n,Fault
ayl,n,Ablution
