word,type,replacement,emotion,source
caballito,n.,young horse,Neutral,pdf+web
caballo,n.,horse,Neutral,pdf+web
caballo mujer,n.,mare,Neutral,pdf
cabaret,n.,cabaret,Neutral,pdf
cabe,v.,to fit,Neutral,pdf+web
cabeza,n.,head,Neutral,pdf+web
cabit,adj.,attached,Neutral,pdf
cable,n.,cable,Neutral,pdf+web
cabra,n.,she-goat,Neutral,pdf+web
cabrito,n.,male goat,Neutral,pdf+web
cacag,n.,hen cackle,Neutral,pdf
cacao,"""a fruit used to make chocolate or cocoa",cocoa,Neutral,pdf
cacerola,n.,cooking pan,Neutral,pdf+web
cada,adj.,each/every,Neutral,pdf+web
cada dia,adv,daily,Neutral,pdf+web
cada dos años,adj.,biennial,Neutral,pdf
cada dos meses,adv.,bimonthly,Neutral,pdf
cada día,adv.,daily,Neutral,pdf
cada semana,adv.,weekly,Neutral,pdf+web
cadaver,n,corpse,Neutral,pdf+web
cadena,n.,chain,Neutral,pdf+web
cadenita,n.,necklace,Neutral,pdf+web
cadera,n.,hips,Neutral,pdf+web
cadáver,n.,corpse,Urgency,pdf
cae,"""because","since, considering, inasmuch",Neutral,pdf
cafe,,coffee,Neutral,pdf+web
cafetera,n.,coffee pot,Neutral,pdf
cafetería,n.,cafeteria,Neutral,pdf
café,n.,coffee,Neutral,pdf
caga,"""to defecate",to poop,Neutral,pdf
caganera,n.,diarrhea,Neutral,pdf+web
cagon,,one who defecates frequently,Neutral,pdf
caguang,n.,flying squirrel,Neutral,pdf
cahig,v.,to rake ground,Neutral,pdf
cahigan,n.,garden rake,Neutral,pdf
caimito,n.,starapple,Neutral,pdf
caja,n.,case,Neutral,pdf+web
caja de hierro,n.,steel safe,Neutral,pdf
cajah,adv.,maybe,Neutral,pdf
cajero,n,cashier,Neutral,pdf+web
cajero/a,n.,cashier,Neutral,pdf
cajon,n.,box,Neutral,pdf+web
cajón,n,box,Neutral,pdf
cake,n.,cake,Neutral,pdf
calabasa,n.,squash,Neutral,pdf+web
calabaza,"""squash","pumpkin, gourd",Neutral,pdf
calabozo,n.,jail/prison,Neutral,pdf+web
calam,n.,tickle,Neutral,pdf
calamares,n.,squid,Neutral,pdf+web
calamidad,n.,calamity,Neutral,pdf+web
